Country,local_price,dollar_ex,dollar_price,dollar_ppp,dollar_valuation
Argentina,"55,0","15,9","3,47","10,9","-31,5"
Australia,"5,8","1,4","4,28","1,1","-15,5"
Brazil,"16,5","3,2","5,12","3,3","1,1"
Britain,"3,1","0,8","3,73","0,6","-26,3"
Canada,"6,0","1,3","4,51","1,2","-10,9"
Chile,"2450,0","672,8","3,64","484,2","-28,0"
China,"19,6","6,9","2,83","3,9","-44,1"
Colombia,"9900,0","2994,6","3,31","1956,5","-34,7"
Costa Rica,"2250,0","554,3","4,06","444,7","-19,8"
Czech Republic,"75,0","25,8","2,91","14,8","-42,6"
Denmark,"30,0","7,1","4,22","5,9","-16,5"
Egypt,"27,5","18,8","1,46","5,4","-71,1"
Euro area,"3,9","1,0","4,06","0,8","-19,7"
Hong Kong,"19,2","7,8","2,48","3,8","-51,1"
Hungary,"900,0","294,6","3,05","177,9","-39,6"
India,"170,0","68,3","2,49","33,6","-50,8"
Indonesia,"31000,0","13329,0","2,33","6126,5","-54,0"
Israel,"16,9","3,9","4,38","3,3","-13,4"
Japan,"380,0","116,7","3,26","75,1","-35,6"
Malaysia,"8,0","4,5","1,79","1,6","-64,6"
Mexico,"49,0","22,0","2,23","9,7","-55,9"
New Zealand,"6,0","1,4","4,19","1,2","-17,3"
Norway,"49,0","8,6","5,67","9,7","12,0"
Pakistan,"375,0","104,8","3,58","74,1","-29,3"
Peru,"11,0","3,4","3,24","2,2","-35,9"
Philippines,"133,0","49,6","2,68","26,3","-47,0"
Poland,"9,6","4,2","2,30","1,9","-54,5"
Russia,"130,0","60,4","2,15","25,7","-57,5"
Saudi Arabia,"12,0","3,8","3,20","2,4","-36,8"
Singapore,"5,6","1,4","3,89","1,1","-23,1"
South Africa,"26,3","14,0","1,89","5,2","-62,7"
South Korea,"4400,0","1196,5","3,68","869,6","-27,3"
Sri Lanka,"350,0","150,1","2,33","69,2","-53,9"
Sweden,"48,0","9,1","5,26","9,5","4,0"
Switzerland,"6,5","1,0","6,35","1,3","25,5"
Taiwan,"69,0","31,9","2,16","13,6","-57,3"
Thailand,"119,0","35,6","3,35","23,5","-33,9"
Turkey,"10,8","3,9","2,75","2,1","-45,7"
UAE,"13,0","3,7","3,54","2,6","-30,1"
Ukraine,"42,0","27,2","1,54","8,3","-69,5"
United States,"5,1","1,0","5,06","1,0","0,0"
Uruguay,"125,0","28,7","4,35","24,7","-14,0"
Venezuela,"3550,0","676,6","5,25","701,6","3,7"
Vietnam,"60000,0","22572,0","2,66","11857,7","-47,5"
Austria,"3,4","1,0","3,56","0,7","-29,7"
Belgium,"4,0","1,0","4,14","0,8","-18,3"
Estonia,"3,1","1,0","3,25","0,6","-35,9"
Finland,"4,6","1,0","4,76","0,9","-5,9"
France,"4,1","1,0","4,29","0,8","-15,2"
Germany,"3,8","1,0","3,97","0,7","-21,6"
Greece,"3,4","1,0","3,51","0,7","-30,7"
Ireland,"4,0","1,0","4,19","0,8","-17,2"
Italy,"4,2","1,0","4,40","0,8","-13,1"
Netherlands,"3,6","1,0","3,78","0,7","-25,3"
Portugal,"3,1","1,0","3,19","0,6","-36,9"
Spain,"4,0","1,0","4,14","0,8","-18,3"
